65,809-11-2843,Progena,197.21,Location3,602980691-2,Pza,8/23/2015
66,912-64-3911,Dexmethylphenidate Hydrochloride,176.3,Location1,596235263-7,Kg,4/18/2015
67,156-07-7511,NARS PURE RADIANT TINTED MOISTURIZER,136.72,Location4,449786771-4,Mts,10/17/2015
68,211-81-2585,Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen,472.66,Location4,868304982-5,Pza,4/22/2015
69,782-34-5242,Gabapentin,251.76,Location3,137967460-3,Kg,12/7/2015
70,814-07-9340,lisinopril,283.92,Location2,207591169-X,Kg,2/23/2015
71,893-36-4618,Lisinopril and Hydrochlorothiazide,66.61,Location2,488447648-4,Mts,5/2/2015
72,804-88-1851,NITROGEN,453.93,Location2,121574598-2,Mts,6/8/2015
73,209-37-5193,Pleo San Acne,132.2,Location1,141424898-9,Pza,4/8/2015
74,420-25-8090,Secret Brazil Invisible,312.33,Location3,827132365-2,Mts,8/22/2015
75,482-42-6847,Alcohol,204.43,Location4,022267733-3,Pza,6/27/2015
76,129-17-1936,LBEL LEDERM 35plus Jour,146.22,Location1,792261144-7,Pza,4/22/2015
77,152-92-7783,3M Cavilon Antifungal,261.01,Location2,051632372-5,Mts,10/14/2015
78,807-09-8876,PROMETHAZINE WITH CODEINE,206.3,Location2,330532696-4,Pza,2/23/2015
79,409-41-3089,RESILIENCE LIFT,492.6,Location3,964304710-5,Pza,2/8/2015
80,125-34-7629,Terrasil Rapid-Clear Anti-Fungal,268.88,Location2,780418222-8,Pza,5/21/2015
81,390-12-5685,Raspberry Vanilla Scented Waterless Hand Sanitizer,219.65,Location2,930294092-6,Mts,7/8/2015
82,414-22-4819,VYTORIN,306.39,Location2,927441197-9,Mts,3/27/2015
83,171-96-9526,Mouth Sore Relief,84.96,Location4,014579975-1,Mts,7/29/2015
84,581-78-9013,Blueberry Dream Antibacterial Hand Wash,11.5,Location4,619026862-5,Mts,11/30/2015
